britned_flow,date,day,demand_value,east_west_flow,eleclink_flow,embedded_solar_capacity,embedded_solar_generation,embedded_wind_capacity,embedded_wind_generation,england_wales_demand,greenlink_flow,hour,ifa2_flow,ifa_flow,minute,month,moyle_flow,nd,nemo_flow,non_bm_stor,nsl_flow,pump_storage_pumping,scottish_transfer,settlement_date,settlement_period,source_file,tsd,viking_flow,year
NaN,2007-07-27,27,24188.0,NaN,NaN,NaN,NaN,0.0,0.0,24188.0,NaN,0,NaN,1995.0,0,7,-119.0,26546.0,NaN,0.0,NaN,1025.0,NaN,2007-07-27,3.0,NaN,28190.0,NaN,2007
NaN,2006-12-15,15,28501.0,NaN,NaN,NaN,NaN,NaN,NaN,28501.0,NaN,0,NaN,68.0,0,12,-16.0,31833.0,NaN,0.0,NaN,1634.0,NaN,2006-12-15,10.0,NaN,34083.0,NaN,2006
998.0,2014-02-06,6,34161.0,-529.0,NaN,3637.0,0.0,2524.0,367.0,34161.0,NaN,0,0.0,1996.0,0,2,-251.0,37922.0,0.0,0.0,NaN,10.0,NaN,2014-02-06,45.0,NaN,39312.0,NaN,2014
720.0,2017-05-15,15,18915.0,0.0,NaN,12000.0,0.0,5108.0,1224.0,18915.0,NaN,0,0.0,1601.0,0,5,245.0,20764.0,0.0,0.0,NaN,1411.0,NaN,2017-05-15,3.0,NaN,22674.0,NaN,2017
0.0,2010-11-29,29,46441.0,0.0,NaN,68.0,5.0,2139.0,284.0,46441.0,NaN,0,0.0,-1462.0,0,11,-401.0,51353.0,0.0,0.0,NaN,10.0,NaN,2010-11-29,29.0,NaN,53826.0,NaN,2010
NaN,2006-07-03,3,33950.0,NaN,NaN,NaN,NaN,NaN,NaN,33950.0,NaN,0,NaN,1142.0,0,7,-64.0,37106.0,NaN,0.0,NaN,10.0,NaN,2006-07-03,43.0,NaN,37680.0,NaN,2006
NaN,2001-12-23,23,36216.0,NaN,NaN,NaN,NaN,NaN,NaN,36216.0,NaN,0,NaN,752.0,0,12,NaN,40638.0,NaN,0.0,NaN,0.0,NaN,2001-12-23,31.0,NaN,NaN,NaN,2001
1004.0,2014-06-18,18,32281.0,-455.0,NaN,4877.0,2750.0,3575.0,399.0,32281.0,NaN,0,0.0,1496.0,0,6,-251.0,35463.0,0.0,0.0,NaN,5.0,NaN,2014-06-18,31.0,NaN,36674.0,NaN,2014
NaN,2001-08-15,15,24860.0,NaN,NaN,NaN,NaN,NaN,NaN,24860.0,NaN,0,NaN,1612.0,0,8,NaN,27504.0,NaN,0.0,NaN,1152.0,NaN,2001-08-15,3.0,NaN,NaN,NaN,2001
0.0,2021-03-14,14,19543.0,0.0,0.0,13565.0,0.0,6527.0,3502.0,19543.0,0.0,0,89.0,67.0,0,3,-101.0,20723.0,590.0,0.0,0.0,1502.0,NaN,2021-03-14,8.0,NaN,22926.0,0.0,2021
-388.0,2013-09-05,5,24854.0,-52.0,NaN,2951.0,0.0,2486.0,174.0,24854.0,NaN,0,0.0,352.0,0,9,0.0,27339.0,0.0,0.0,NaN,201.0,NaN,2013-09-05,13.0,NaN,28480.0,NaN,2013
472.0,2022-10-10,10,24877.0,-243.0,0.0,14853.0,4906.0,6545.0,2418.0,24877.0,0.0,0,-1029.0,0.0,0,10,-437.0,27035.0,55.0,0.0,615.0,7.0,NaN,2022-10-10,21.0,NaN,29251.0,0.0,2022
892.0,2013-08-31,31,28156.0,-372.0,NaN,2940.0,1170.0,2450.0,716.0,28156.0,NaN,0,0.0,1494.0,0,8,0.0,30919.0,0.0,0.0,NaN,14.0,NaN,2013-08-31,19.0,NaN,31805.0,NaN,2013
1.0,2021-04-29,29,21771.0,-27.0,0.0,13661.0,0.0,6527.0,746.0,21771.0,0.0,0,-2.0,1804.0,0,4,-156.0,24008.0,901.0,0.0,0.0,999.0,NaN,2021-04-29,4.0,NaN,25692.0,0.0,2021
NaN,2006-07-24,24,33898.0,NaN,NaN,NaN,NaN,NaN,NaN,33898.0,NaN,0,NaN,879.0,0,7,-72.0,37096.0,NaN,0.0,NaN,10.0,NaN,2006-07-24,41.0,NaN,37678.0,NaN,2006
0.0,2024-08-04,4,17392.0,0.0,997.0,18037.0,6354.0,6563.0,2140.0,17392.0,0.0,0,967.0,942.0,0,8,49.0,18811.0,1019.0,0.0,1398.0,653.0,3062.0,2024-08-04,28.0,NaN,19964.0,850.0,2024
NaN,2003-06-24,24,29807.0,NaN,NaN,NaN,NaN,NaN,NaN,29807.0,NaN,0,NaN,-995.0,0,6,NaN,32892.0,NaN,0.0,NaN,284.0,NaN,2003-06-24,47.0,NaN,NaN,NaN,2003
0.0,2021-04-10,10,23745.0,0.0,0.0,13648.0,359.0,6527.0,705.0,23745.0,0.0,0,972.0,1997.0,0,4,-232.0,26300.0,987.0,0.0,0.0,6.0,NaN,2021-04-10,15.0,NaN,27038.0,0.0,2021
